serial_number,start_date,end_date,duration,event,smart_5_raw,smart_9_raw,smart_187_raw,smart_197_raw,smart_198_raw,temp_mean,temp_max,temp_std,delta_smart_5_raw,delta_smart_196_raw,slope_smart_5_raw,slope_smart_196_raw,pending_present,age_years,log_age,health_risk_score
2140E5D8D7E2,2025-01-01,2025-03-31,89,0,0.0,27712.144444444446,0.0,0.0,0.0,33.44444444444444,41.0,3.893330796549164,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7E4,2025-01-01,2025-03-31,89,0,0.0,26990.32222222222,0.0,0.0,0.0,26.11111111111111,27.0,0.3142696805274795,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7E5,2025-01-01,2025-03-13,71,0,0.0,25886.625,0.0,0.0,0.0,27.22222222222222,34.0,2.6678238230095555,0.0,0.0,0.0,0.0,0,0.19452054794520549,4.276666119016055,0.0
2140E5D8D7E8,2025-01-01,2025-03-31,89,0,0.0,26029.62222222222,0.0,0.0,0.0,39.31111111111111,42.0,0.7978365809341305,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7E9,2025-01-01,2025-03-31,89,0,0.0,26045.8,0.0,0.0,0.0,36.077777777777776,42.0,2.6213981756043974,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7EA,2025-01-01,2025-03-31,89,0,0.0,27722.4,0.0,0.0,0.0,33.53333333333333,42.0,3.537733109712446,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7EB,2025-01-01,2025-03-31,89,0,0.0,26007.966666666667,0.0,0.0,0.0,34.24444444444445,40.0,2.655439328000383,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7EC,2025-01-01,2025-03-31,89,0,0.0,26030.466666666667,0.0,0.0,0.0,36.34444444444444,42.0,2.295701834642387,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7ED,2025-01-01,2025-03-31,89,0,0.0,27692.266666666666,0.0,0.0,0.0,34.855555555555554,38.0,2.3120991477736923,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D865,2025-01-01,2025-03-31,89,0,0.0,24669.066666666666,0.0,0.0,0.0,34.144444444444446,37.0,0.5880497165509102,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D86A,2025-01-01,2025-03-31,89,0,0.0,25998.933333333334,0.0,0.0,0.0,35.71111111111111,42.0,2.02344285505041,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D870,2025-01-01,2025-03-31,89,0,0.0,25875.733333333334,0.0,0.0,0.0,35.43333333333333,41.0,2.5212430796467835,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D872,2025-01-01,2025-03-31,89,0,0.0,26086.722222222223,0.0,0.0,0.0,37.922222222222224,42.0,1.2222727262292454,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E107,2025-01-01,2025-03-31,89,0,0.0,25185.744444444445,0.0,0.0,0.0,35.75555555555555,37.0,0.5833068777070596,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E115,2025-01-01,2025-03-31,89,0,0.0,25393.144444444446,0.0,0.0,0.0,37.18888888888889,39.0,0.6649050800167589,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E119,2025-01-01,2025-03-31,89,0,0.0,23730.477777777778,0.0,0.0,0.0,31.9,36.0,1.915144322963136,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E11A,2025-01-01,2025-03-31,89,0,0.0,20299.6,0.0,1.0,0.0,38.93333333333333,41.0,0.48989794855687696,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2140E5D8E172,2025-01-01,2025-03-31,89,0,0.0,25848.855555555554,0.0,0.0,0.0,33.05555555555556,37.0,1.3691936890099297,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
